ts_s,ts_ms,Sensor1_raw,Sensor2_raw,Sensor3_raw,Sensor4_raw,Sensor5_raw,Sensor6_raw,Sensor7_raw,Sensor8_raw,Sensor9_raw,Sensor10_raw
171,170880,26.0,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
173,172880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
175,174880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
177,176880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
179,178880,25.75,26.25,26.0,27.5,26.0,26.25,26.0,26.0,26.0,26.5
181,180880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
183,182880,25.75,26.25,26.0,27.5,26.0,26.25,26.0,26.0,26.0,26.5
185,184880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
187,186880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
189,188880,25.75,26.25,26.0,27.5,26.0,26.25,26.0,26.0,26.0,26.5
191,190880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
193,192880,25.75,26.25,25.75,27.5,26.0,26.25,26.0,26.0,26.0,26.5
195,194880,25.75,26.25,26.0,27.5,26.0,26.25,26.0,26.0,26.0,26.5
197,196880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
199,198880,25.75,26.25,26.0,27.25,26.0,26.25,26.0,26.0,26.0,26.5
201,200880,26.0,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
203,202880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
205,204880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
207,206880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
209,208880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
211,210880,25.75,26.25,26.0,27.25,25.75,26.25,26.0,26.0,26.0,26.5
213,212880,25.75,26.25,26.0,27.25,26.0,26.25,26.0,26.0,26.0,26.5
215,214880,25.75,26.25,26.0,27.25,26.0,26.25,26.0,26.0,26.0,26.5
217,216880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
219,218880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
221,220880,25.75,26.25,26.0,27.25,26.0,26.25,26.0,26.0,26.0,26.5
223,222880,25.75,26.25,26.0,27.25,26.0,26.25,26.25,26.0,26.0,26.5
225,224880,25.75,26.25,26.0,27.25,26.0,26.25,26.0,26.0,26.0,26.5
227,226880,25.75,26.25,26.0,27.25,26.0,26.25,26.0,26.0,26.0,26.5
229,228880,25.75,26.25,26.0,27.25,26.0,26.25,26.0,26.0,26.0,26.5
231,230880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
233,232880,25.75,26.25,26.0,27.0,26.0,26.25,26.25,26.0,26.0,26.5
235,234880,25.75,26.25,25.75,27.25,26.0,26.25,26.0,26.0,26.0,26.5
237,236880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
239,238880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
241,240880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
243,242880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
245,244880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
247,246880,26.0,26.25,25.75,27.0,26.0,26.25,26.25,26.0,26.0,26.5
249,248880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
251,250880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
253,252880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
255,254880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
257,256880,26.0,26.25,25.75,27.0,25.75,26.25,26.0,26.0,26.0,26.5
259,258880,26.0,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
261,260880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
263,262880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
265,264880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
267,266880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
269,268880,25.75,26.25,25.75,27.0,26.0,26.25,26.25,26.0,26.0,26.5
271,270880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
273,272880,26.0,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
275,274880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
277,276880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
279,278880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
281,280880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
283,282880,26.0,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
285,284880,26.0,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
287,286880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
289,288880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
291,290880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
293,292880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
295,294880,25.75,26.25,25.75,27.0,26.0,26.25,26.0,26.0,26.0,26.5
297,296880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
299,298880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
301,300880,26.0,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.25,26.5
303,302880,25.75,26.25,26.0,27.0,26.0,26.25,26.0,26.0,26.0,26.5
305,304880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
307,306880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
309,308880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
311,310880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
313,312880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
315,314880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
317,316880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
319,318880,26.0,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
321,320880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
323,322880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
325,324880,25.75,26.25,26.0,26.75,26.0,26.25,26.25,26.0,26.0,26.5
327,326880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
329,328880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
331,330880,25.75,26.25,25.75,26.75,26.0,26.25,26.25,26.0,26.0,26.5
333,332880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
335,334880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
337,336880,26.0,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
339,338880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
341,340880,26.0,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
343,342880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
345,344880,25.75,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
347,346880,26.0,26.25,25.75,26.75,26.0,26.25,26.0,26.0,26.0,26.5
349,348880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
351,350880,25.75,26.25,26.0,26.75,26.0,26.25,26.0,26.0,26.0,26.5
